label,clean_tweet
1,أتفهم العثماني وأتفهم الجدل الشعبي الحل حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا
0,افظل حاكم عربي
1,ماريانو راخوي  خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه
2,سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا ممصوتش
1,مليلية رئيس حزب بوكس الإسباني اللي كيعادي بلادنا تأجيل وزير الخارجية للرباط كييبن بللي المغرب المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود البلدين
0,dakchi alach hamdoulah mereta7 et en bonne sant
0,تحياتي أستاذة منيب
2,انا متحزب حزب العدالة  بنكيران أخبت خلق الله
1,التحت الفوق
0,ترح ترجع بالسلام ياحبيبي
0,اول فنان مغربي عربي تصل اغنيته مئة مشاهدة على يوتيوب
1,تعليق رسمي خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير
2,wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo
0,الله أكبر والعزة لله الله يحميكم وينصركم
0,السياحة البيتكوين، فعلا فكرة رائعة مسبوقة إشهار مجاني للسياحة بالمغرب كما أشار المقال أتمنى أن يتدارك المغرب الموقف يلتحق بالركب ارحموا هذا البلد السعيد
1,مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب
2,هذشى الاغلبية ديال الشعب عارف الله غالب
2,conane likid3ambety o abdsalam dar bareh hamla 9alek hejmo 3la had siyed bach ibtissam t9dar dir 3ando aflam
1,تقرير مفاوضات إسرائيلية تركية سرية ناقشو يدار أنبوب غاز مشترك لتزويد اوروبا
2,machi darori tkhayel m3aya bnek de 5 ans chiyar chi lo3ba jatek nel 3aynina dabezti m3a jara konti kharja men bab we weld l7awma tira fe ballon jak nel 3aynina mohim tzer9atlek l3aynina we sab7a khadama had make up tutorial ye9dar ynef3ek
1,الحكومة عطات هدايا جديدة للمقاولات الوطنية كتشد الصفقات العموميةمنها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا
2,ان لله وان اليه راجعون ولاقوة الابالله العلي العظيم
1,الدكتور التازي واللي تابعوهم بتهمة الاتجار فالبشر والقضية حامضة بزاف
0,تبارك الله على سي حكيمي بالتوفيق
0,شكرا على المجهودات اتمنى لو الترجمة
0,hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm
1,خاص تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة طرف أستاذ ففاس
2,لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال
0,شكرًا لكم  قريت التعاليق أسعدني تفاعلكم  أسعدكم الله
0,انا متافقة معاك جطيوي ماتبدل صاحبك كرف هاحنا نشوفو هاد الحكومة دير
2,أسكنه فسيــــح جناتــــــــه، إن لله إن إليــه راجعــون
2,واخيرا انزاح راس رؤوس الخرافات الاحلام المنمقة الكلمات الفضفاضة لم يكن يوما صديقا للشعب ودودا به مدافعا غن مسكين نسخة فتح الله اولعلو صورة متسيلم على وزن دون كشوط يحارب الاشباح والتماسيح والعفاريت والمساكين والشعب المسحوق بالفاظ تمت لرجل سياسة قريب بعيد دمية مهرجة فقط فلا بارك الله فيك صوت عليك
0,rfa3ti rasna w rfa3ti rayat bladna lah yhfdek wykhalik lina jtm
2,للأسف الشديد الرشوة استفحلت مجتمعنا وأصبحت شيئا عاديا
1,منذ بداية الولاية الحكومية 8475 منصب شغل مباشر وغير مباشر جديد خرج للوجود أخنوش خاص الحرص على الفعالية فدراسة المشاريع اللي كتدوز فلجنة الاستثمارات
1,9li lya 9alti chi bnat rayemchiw 3and btissam chno daro
2,ماشي شوف تلفزة هاذ القناة الجاهلة الرذيءة أنصح للأحرار والحرائر شطبها والله الغني
1,وزيرة الانتقال الطاقي مكنشريوش الغاز اسبانيا وها شنو تافقنا معها وكنوجدو صفقات دول صديقة منها قطر باش نستوردو الغاز الطبيعي
2,يالمذلولا الذل راكم عايشين يكفيكم وزيادة اصبحتم أضحوكة العالم
0,سامسونج هيا التوب الاس 6 طاح مزال خدام السلعة الشينوا منشريهاش تبقى غا هي
2,الله أكبر القدس عاصمة فلسطين الأبدية لقد فتحتم أبواب جهنم عليكم يا يهود
0,الله يكرمك ويرضي عنك
2,mezyana fihoum wakha mbs dine
0,نتمنى له النجاح والتوفيقللانه مدرب كبيروان الزاكي يضلم ويتدخل اختيارتههدا مايعكر صفو المدربين الكبار اللعبة
0,اجمل وارجل واشيك شعب فى العالم شعب الشجعان ارجل العالم العربى كله
1,yalah kan9ob fin ntfrj
2,ينتقد بن كران خصوم معارضة لى خاصها سلطة تهتم لوضعية مواطن
2,hhhhhhhhhhhhhhhhh matjawboch hada rah la9itt mne douk dzarin li ness ness lay3fo rah chb3o fih m3yor odb ja andna
0,شكرا اورونج فالا نترنيت تصل الينا البوادي وان لم اقل الجبال فاورنج انهت عزلتنا شكرا عيد ميلاد سعيد المزيد والحرص على العمل
2,wa ri sokti koun chi ana koun chti hadik charfa dyalma3art ach smit tasiltha bahdloha lah ybahdlhom tba3ab lblaa
0,كتحمقني والله زويييونة تبركاالله عليك
1,hhhhhhhhhhhhh safe fda7ti l moufaj2a d momo et hatim
0,صوتك زوين أظنك تحتاجين ان تمرني صوتك حولي ان تضفي طابعك الخاص اغنية على صوتك جميل جميلة اتمنى لك التوفيق والنجاح
1,chad lil tfkr f hyatk
1,العدل والإحسان طالقا السلوگية فرمضان وهضرات على عشرات المعتقلين منع نشاط طلابي على التطبيع والبوليس مكاين تعنيف اعتقالات
