tweet,label
hhhhhhhhhhhhhhhhhhhhhh ana ga3ma sma3tt ach kant kat9oll kanrakazz ghir m3a zineb oyassmin ochirine,1
hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila,1
: أتفهم العثماني وأتفهم الجدل الشعبي. الحل: حان وقت تنزيل شامل للجهوية المتقدمة وتحمل المتخبين الجهوين لكامل صلاحياتهم لشرح تفا…,1
كان افظل حاكم عربي',0
"ماريانو راخوي : خاص المغرب واسبانيا يشرحو للرأي العام وجميع المتدخلين بوضوح تفاصيل الاتفاق اللي توصلو ليه,",1
كيف سمحت لك نفسك ان تقارن اردوغان بالحمار بنكيران للتذكير انا #ممصوتش,2
"مليلية.. رئيس حزب “بوكس” الإسباني اللي كيعادي بلادنا: تأجيل زيارة وزير الخارجية للرباط كييبن بللي المغرب هو المتحكم فكلشي وكيطالب حكومة مدريد تبقى سادة الحدود بين البلدين,",1
dakchi alach hamdoulah mereta7 et en bonne santé 😂,0
تحياتي أستاذة منيب,0
"ولا انا متحزب ولكن حزب العدالة """""""""""""""" بنكيران"""""""""""""""" أخبت خلق الله",2
غير التحت ، الفوق لا 😂,1
ترح و ترجع بالسلام ياحبيبي',0
اول فنان مغربي عربي تصل اغنيته ل خمسة مئة مليون مشاهدة على يوتيوب',0
"ها أول تعليق رسمي من خارجية الصبليون على اكتشاف احتياطات نفطية كبيرة فسواحل أگادير,",1
wlah matfro insana tafha ma3ndha hta hadaf f hyatha bghat ghir nas igolo 3liha zwina tfoo,2
الله أكبر والعزة لله الله يحميكم وينصركم',0
السياحة مقابل البيتكوين، فعلا فكرة رائعة و غير مسبوقة. و إشهار مجاني للسياحة بالمغرب كما أشار المقال. أتمنى أن يتدارك المغرب الموقف و يلتحق بالركب. ارحموا هذا البلد السعيد.',0
"مجموعة طاليس العالمية حلات مركز عملياتي للأمن السيبيراني فالمغرب,",1
هذشى كاين الاغلبية ديال الشعب  عارف الله  غالب,2
conane likid3ambety o abdsalam dar bareh hamla 9alek hejmo 3la had siyed bach ibtissam t9dar dir 3ando aflam,2
"تقرير: مفاوضات إسرائيلية تركية سرية ناقشو فيها يدار أنبوب غاز مشترك لتزويد اوروبا,",1
machi darori tkhayel m3aya bnek de 5 ans chiyar chi lo3ba jatek nel 3aynina dabezti m3a jara konti kharja men bab we weld l7awma tira fe ballon jak nel 3aynina mohim tzer9atlek l3aynina we sab7a khadama had make up tutorial ye9dar ynef3ek,2
"الحكومة عطات هدايا جديدة للمقاولات الوطنية لي كتشد الصفقات العمومية..منها تمديد آجال الأشغال واسترجاع الضمانات وفسخ الكونطرا وديا,",1
ان لله وان اليه راجعون ولا حول ولاقوة الابالله العلي العظيم',2
"الدكتور التازي واللي معاه تابعوهم بتهمة “الاتجار فالبشر”.. والقضية عندهم حامضة بزاف,",1
تبارك الله على سي حكيمي بالتوفيق',0
شكرا على المجهودات ....اتمنى لو كانت الترجمة',0
hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm,0
"خاص. تفاصيل صادمة على جريمة اغتصاب تلميذة قاصرة من طرف أستاذ ففاس,",1
لاينبغي لصحفي يحترم نفسه ويحترم مهنته ان يطرح مثل هذا السؤال',2
شكرًا لكم بزاف .. قريت جميع التعاليق و أسعدني تفاعلكم ♥️ أسعدكم الله 🌸﻿',0
انا متافقة معاك امين جطيوي ماتبدل صاحبك غي ما كرف هاحنا غادي نشوفو هاد الحكومة اش غادي دير,0
و أسكنه فسيــــح جناتــــــــه، إن لله و إن إليــه راجعــون',2
واخيرا انزاح راس من رؤوس الخرافات و الاحلام المنمقة و الكلمات الفضفاضة فهو لم يكن يوما صديقا للشعب ولا ودودا به ولا مدافعا غن مسكين بل هو نسخة من فتح الله اولعلو في صورة متسيلم على وزن دون كشوط يحارب الاشباح والتماسيح والعفاريت ...والمساكين والشعب المسحوق بالفاظ لا تمت لرجل سياسة لا من قريب ولا من بعيد فهو دمية مهرجة فقط فلا بارك الله فيك ولا في من صوت عليك',2
